STATE,PRIVATEAUTO,PUBLICAUTO,TOTALAUTO,PRIVATEBUS,PUBLICBUS,TOTALBUS,PRIVATETRUCK,PUBLICTRUCK,TOTALTRUCK,PRIVATEMCYCLE,PUBLICMCYCLE,TOTALMCYCLE,PRIVATEALL,PUBLICALL,TOTALALL
Alabama,"2,057,430","17,539","2,074,969","1,333","4,073","5,406","2,565,820","22,940","2,588,760","117,142",942,"118,084","4,741,725","45,494","4,787,219"
Alaska,"197,242","3,800","201,042","2,153","1,387","3,540","538,145","10,891","549,036","32,199",8,"32,207","769,739","16,086","785,825"
Arizona,"2,234,532","22,717","2,257,249","16,034","4,955","20,989","2,874,457","39,995","2,914,452","188,359",1,"188,360","5,313,382","67,668","5,381,050"
Arkansas,"822,009","43,201","865,210","1,296","9,099","10,395","1,454,107","14,051","1,468,158","74,196",-,"74,196","2,351,608","66,351","2,417,959"
California ,"13,597,778","224,727","13,822,505","33,690","59,194","92,884","13,038,149","321,539","13,359,688","784,987","14,913","799,900","27,454,604","620,373","28,074,977"
Colorado ,"1,800,225","19,383","1,819,608","7,641","4,117","11,758","2,636,749","30,746","2,667,495","184,497",52,"184,549","4,629,112","54,298","4,683,410"
Connecticut,"1,457,906","16,675","1,474,581","3,587","8,792","12,379","1,253,168","24,356","1,277,524","91,054",-,"91,054","2,805,715","49,823","2,855,538"
Delaware,"447,337",818,"448,155","2,635","1,872","4,507","461,493","3,231","464,724","30,056",-,"30,056","941,521","5,921","947,442"
District of Columbia,"203,652","14,990","218,642","2,989","1,305","4,294","100,701","4,966","105,667","4,076",94,"4,170","311,418","21,355","332,773"
Florida ,"7,309,847","115,645","7,425,492","25,409","33,335","58,744","6,985,473","116,574","7,102,047","542,988","2,464","545,452","14,863,717","268,018","15,131,735"
Georgia ,"3,405,052","29,988","3,435,040","10,203","31,573","41,776","4,066,201","37,196","4,103,397","199,287",846,"200,133","7,680,743","99,603","7,780,346"
Hawaii,"556,832","11,406","568,238","2,139",893,"3,032","712,457","10,401","722,858","40,194",370,"40,564","1,311,622","23,070","1,334,692"
Idaho,"594,469","4,408","598,877","2,630",502,"3,132","1,020,334","5,170","1,025,504","64,899",45,"64,944","1,682,332","10,125","1,692,457"
Illinois ,"4,750,367","46,625","4,796,992","3,744","29,827","33,571","4,958,606","51,951","5,010,557","352,318",-,"352,318","10,065,035","128,403","10,193,438"
Indiana,"2,256,724","8,181","2,264,905","9,291",870,"10,161","3,073,698","6,632","3,080,330","218,594",36,"218,630","5,558,307","15,719","5,574,026"
Iowa,"1,356,198","10,191","1,366,389","3,929","5,336","9,265","1,957,267","24,548","1,981,815","182,964",330,"183,294","3,500,358","40,405","3,540,763"
Kansas,"1,016,853","14,381","1,031,234","2,879","2,000","4,879","1,472,639","19,924","1,492,563","99,169",-,"99,169","2,591,540","36,305","2,627,845"
Kentucky,"1,698,845","16,059","1,714,904","2,027","7,720","9,747","2,177,396","19,880","2,197,276","109,821",-,"109,821","3,988,089","43,659","4,031,748"
Louisiana,"1,466,291","40,213","1,506,504","22,016","6,959","28,975","2,269,301","38,616","2,307,917","112,967",811,"113,778","3,870,575","86,599","3,957,174"
Maine,"482,461","5,435","487,896",647,886,"1,533","639,444","7,147","646,591","63,113",1,"63,114","1,185,665","13,469","1,199,134"
Maryland,"1,892,687","25,919","1,918,606","6,134","9,692","15,826","1,772,598","26,936","1,799,534","99,484",76,"99,560","3,770,903","62,623","3,833,526"
Massachusetts ,"2,482,874","27,906","2,510,780","8,259","2,790","11,049","2,310,653","27,844","2,338,497","125,009",113,"125,122","4,926,795","58,653","4,985,448"
Michigan,"3,562,296","31,455","3,593,751","3,391","5,295","8,686","4,282,897","39,742","4,322,639","267,292",-,"267,292","8,115,876","76,492","8,192,368"
Minnesota,"2,191,480","20,926","2,212,406","5,188","7,250","12,438","2,731,557","25,830","2,757,387","237,259",-,"237,259","5,165,484","54,006","5,219,490"
Mississippi ,"867,834","3,972","871,806","1,976","6,080","8,056","1,159,201","6,039","1,165,240","28,433",-,"28,433","2,057,444","16,091","2,073,535"
Missouri,"2,462,175","22,729","2,484,904","3,118","2,340","5,458","3,116,365","29,206","3,145,571","184,723",-,"184,723","5,766,381","54,275","5,820,656"
Montana ,"441,896","2,811","444,707","4,275",153,"4,428","915,542","4,169","919,711","171,083",2,"171,085","1,532,796","7,135","1,539,931"
Nebraska,"703,558","29,450","733,008","2,435","1,395","3,830","1,081,752","16,439","1,098,191","56,224",-,"56,224","1,843,969","47,284","1,891,253"
Nevada,"968,310","9,542","977,852",702,"3,236","3,938","1,137,615","13,016","1,150,631","70,670",5,"70,675","2,177,297","25,799","2,203,096"
New Hampshire,"619,735","5,656","625,391","1,881",643,"2,524","702,159","5,250","707,409","73,612",-,"73,612","1,397,387","11,549","1,408,936"
New Jersey ,"3,603,866","40,680","3,644,546","14,364","5,881","20,245","3,213,690","30,751","3,244,441","152,111",-,"152,111","6,984,031","77,312","7,061,343"
New Mexico,"704,593","11,846","716,439","1,062","4,398","5,460","1,077,482","17,764","1,095,246","65,321",-,"65,321","1,848,458","34,008","1,882,466"
New York,"5,119,508","83,849","5,203,357","15,323","10,416","25,738","5,019,930","79,991","5,099,921","345,116",2,"345,118","10,499,877","174,258","10,674,135"
North Carolina,"3,462,557","33,247","3,495,804","11,530","19,748","31,278","4,060,835","30,444","4,091,279","195,479",14,"195,493","7,730,401","83,453","7,813,854"
North Dakota,"248,971","6,212","255,183",956,"1,665","2,621","541,680","9,869","551,549","35,742",14,"35,756","827,349","17,760","845,109"
Ohio,"4,806,463","56,305","4,862,768","17,337","24,632","41,969","4,993,077","60,287","5,053,364","402,247",17,"402,264","10,219,124","141,241","10,360,365"
Oklahoma,"1,359,390","16,728","1,376,118",503,"1,610","2,113","1,939,271","15,627","1,954,898","126,882",1,"126,883","3,426,046","33,966","3,460,012"
Oregon,"1,504,916","15,868","1,520,784","1,412","1,766","3,178","1,967,562","22,504","1,990,066","89,797",-,"89,797","3,563,687","40,138","3,603,825"
Pennsylvania,"4,763,611","46,289","4,809,900","51,850","2,653","54,503","5,124,466","71,331","5,195,797","400,183",725,"400,908","10,340,110","120,998","10,461,108"
Rhode Island ,"451,775","7,618","459,393",106,"2,009","2,115","353,028","6,364","359,392","32,159",93,"32,252","837,068","16,084","853,152"
South Carolina,"1,709,013","41,629","1,750,642","5,408","12,672","18,080","2,062,766","41,771","2,104,537","112,851",464,"113,315","3,890,038","96,536","3,986,574"
South Dakota ,"325,944","5,976","331,920",232,"2,460","2,692","577,916","15,935","593,851","86,197",513,"86,710","990,289","24,884","1,015,173"
Tennessee ,"2,248,204","36,122","2,284,326","2,104","23,706","25,810","2,894,820","83,157","2,977,977","163,820",-,"163,820","5,308,948","142,985","5,451,933"
Texas ,"7,810,175","144,731","7,954,906","18,347","81,135","99,482","11,392,993","279,898","11,672,891","439,885","3,971","443,856","19,661,400","509,735","20,171,135"
Utah,"868,993","7,043","876,036","3,567","1,924","5,491","1,104,628","9,387","1,114,015","64,911",59,"64,970","2,042,099","18,413","2,060,512"
Vermont,"255,523","3,278","258,801","1,271",846,"2,117","318,385","3,709","322,094","28,777",-,"28,777","603,956","7,833","611,789"
Virginia,"3,225,620","70,745","3,296,365","7,333","24,306","31,639","3,495,431","37,892","3,533,323","189,053",636,"189,689","6,917,437","133,579","7,051,016"
Washington,"2,772,204","28,051","2,800,255","12,332","9,460","21,792","3,308,178","35,542","3,343,720","227,072",1,"227,073","6,319,786","73,054","6,392,840"
West Virginia,"515,816","26,084","541,900",940,"3,586","4,526","838,960","9,988","848,948","56,660","1,361","58,021","1,412,376","41,019","1,453,395"
Wisconsin ,"2,239,717","16,812","2,256,529",779,"14,528","15,307","2,679,455","64,090","2,743,545","322,986",392,"323,378","5,242,937","95,822","5,338,759"
Wyoming ,"226,602","2,129","228,731","1,042",152,"1,194","567,085","2,132","569,217","31,392",5,"31,397","826,121","4,418","830,539"
